"Institution Name","Address 1","Address 2","Address 3","Address 4","Postcode"
"Liverpool John Moores University","Egerton Court","2 Rodney Street","LIVERPOOL",,"L3 5UX"
"London Business School","Sussex Place","Regent`s Park","LONDON"," ","NW1 4SA"
"London Metropolitan University","166-220 Holloway Road","LONDON",,,"N7 8DB"
"London School of Economics and Political Science","Houghton Street","LONDON",,,"WC2A 2AE"
"London School of Hygiene & Tropical Medicine","Keppel Street","LONDON"," "," ","WC1E 7HT"
"London South Bank University","103 Borough Road","LONDON",,,"SE1 0AA"
"Loughborough University","Ashby Road","LOUGHBOROUGH",,,"LE11 3TU"
"Manchester Metropolitan University","All Saints Building","Oxford Road","MANCHESTER"," ","M15 6BH"
"Middlesex University","The Burroughs","Hendon","LONDON",,"NW4 4BT"
"Newman University College","Genners Lane","Bartley Green","BIRMINGHAM",,"B32 3NT"
"Norwich University College of the Arts","Francis House","3-7 Redwell Street","NORWICH",,"NR2 4SN"
"Nottingham Trent University","Burton Street","NOTTINGHAM"," "," ","NG1 4BU"
"Open University","Walton Hall","MILTON KEYNES",,,"MK7 6AA"
"Oxford Brookes University","Headington Campus","Headington","OXFORD",,"OX3 0BP"
"Queen Mary, University of London","Mile End Road","LONDON",,,"E1 4NS"
"Ravensbourne","6 Penrose Way","LONDON",,,"SE10 0EW"
"Roehampton University","Roehampton Lane","LONDON",,,"SW15 5PJ"
"Rose Bruford College","Lamorbey Park","Burnt Oak Lane","SIDCUP",,"DA15 9DF"
"Royal Academy of Music","Marylebone Road","LONDON"," "," ","NW1 5HT"
"Royal Agricultural College","Stroud Road","CIRENCESTER",,,"GL7 6JS"
"Royal College of Art","Kensington Gore","LONDON"," "," ","SW7 2EU"
"Royal College of Music","Prince Consort Road","LONDON",,,"SW7 2BS"
"Royal Holloway, University of London","Egham Hill","EGHAM",," ","TW20 0EX"
"Royal Northern College of Music","124 Oxford Road","MANCHESTER",,,"M13 9RD"
"Royal Veterinary College","Hawkshead Lane","NORTH MYMMS",,,"AL9 7TA"
"School of Oriental and African Studies","College Buildings","Russel Square","LONDON",,"WC1H 0XG"
"School of Pharmacy","University of London","29-39 Brunswick Square","LONDON",,"WC1N 1AX"
"Sheffield Hallam University","City Campus","SHEFFIELD",,,"S1 1WB"
"Southampton Solent University","East Park Terrace","SOUTHAMPTON",,,"SO14 0RL"
"St George's Hospital Medical School","Cranmer Terrace","Tooting","LONDON"," ","SW17 0RE"
"St Mary's University College","Waldegrave Road","Strawberry Hill","TWICKENHAM",,"TW1 4SX"
"Staffordshire University","Blackheath Lane","STAFFORD",,,"ST18  0AD"
"Teesside University","MIDDLESBROUGH",,,,"TS1 3BA"
"The Arts University College at Bournemouth","Wallisdown","POOLE",,,"BH12 5HH"
"The University of West London","St Mary's Road","Ealing","LONDON",,"W5 5RF"
"Trinity Laban Conservatoire of Music and Dance","King Charles Court, Old Royal Naval Coll","Greenwich","LONDON",,"SE10 9JF"
"University Campus Suffolk","Waterfront Building","Neptune Quay","IPSWICH",,"IP4 1QJ"
"University College Birmingham","Summer Row","BIRMINGHAM",," ","B3 1JB"
"University College Falmouth","Woodlane Campus","FALMOUTH",,,"TR11 4RH"
"University College London","Gower Street","LONDON",,,"WC1E 6BT"
"University College Plymouth St Mark & St John","Derriford Road","PLYMOUTH",,,"PL6 8BH"
"University for the Creative Arts","Falkner Road","FARNHAM",,,"GU9 7DS"
"University of Bath","Claverton Down","BATH",,,"BA2 7AY"
"University of Bedfordshire","Luton Campus","Park Square","LUTON",,"LU1 3JU"
"University of Birmingham","Edgbaston","BIRMINGHAM",,,"B15 2TT"
"University of Bolton","Deane Road","BOLTON"," "," ","BL3 5AB"
"University of Bradford","Richmond Road","BRADFORD",,,"BD7 1DP"
"University of Brighton","Mithras House","Lewes Road","BRIGHTON"," ","BN2 4AT"
"University of Bristol","Senate House","Tyndall Avenue","BRISTOL"," ","BS8 1TH"
"University of Cambridge","The Old Schools","Trinity Lane","CAMBRIDGE",,"CB2 1TT"
"University of Central Lancashire","Adelphi Building","PRESTON",,,"PR1 2HE"
"University of Chester","Parkgate Road","CHESTER"," "," ","CH1 4BJ"
"University of Chichester","Bishop Otter College","College Lane","CHICHESTER",,"PO19 6PE"
"University of Cumbria","Fusehill Street","CARLISLE",,,"CA1 2HH"
"University of Derby","Kedleston Road","DERBY"," "," ","DE22 1GB"
"University of Durham","University Offices","DURHAM",,,"DH1 3HP"
"University of East Anglia","University Plain","The Registry","NORWICH",,"NR4 7TJ"
"University of East London","4-6 University Way","LONDON",,,"E16 2RD"
"University of Essex","Wivenhoe Park","COLCHESTER"," "," ","CO4 3SQ"
"University of Exeter","Northcote House","The Queen`s Drive","EXETER",,"EX4 4QJ"
"University of Gloucestershire","The Park","CHELTENHAM",,,"GL50 2RH"
"University of Greenwich","Greenwich Campus","Old Royal Naval College","LONDON",,"SE10 9LS"
"University of Hertfordshire","College Lane","HATFIELD",,,"AL10 9AB"
"University of Huddersfield","Queensgate","HUDDERSFIELD"," "," ","HD1 3DH"
"University of Hull","Cottingham Road","HULL",,,"HU6 7RX"
"University of Kent","The Registry","CANTERBURY",,,"CT2 7NZ"
"University of Leeds","LEEDS",,,,"LS2 9JT"
"University of Leicester","University Road","LEICESTER"," "," ","LE1 7RH"
"University of Lincoln","Brayford Pool","LINCOLN",,,"LN6 7TS"
"University of Liverpool","The Foundation Building","765 Brownlow Hill","LIVERPOOL",,"L69 7ZX"
"University of London","Senate House","Malet Street","LONDON"," ","WC1E 7HU"
"University of Manchester","Oxford Road","MANCHESTER"," "," ","M13 9PL"
"University of Newcastle upon Tyne","King's Gate","NEWCASTLE UPON TYNE",,,"NE1 7RU"
"University of Northampton","Park Campus","Boughton Green Road","NORTHAMPTON"," ","NN2 7AL"
"University of Northumbria at Newcastle","Ellison Building","Ellison Place","NEWCASTLE",,"NE1 8ST"
"University of Nottingham","University Park","NOTTINGHAM"," "," ","NG7 2RD"
"University of Oxford","University Offices","Wellington Square","OXFORD"," ","OX1 2JD"
"University of Plymouth","18 Portland Villas","Drake Circus","PLYMOUTH",,"PL4 8AA"
"University of Portsmouth","University House","Winston Churchill Avenue","PORTSMOUTH"," ","PO1 2UP"
"University of Reading","Whiteknights","P O Box 217","READING",,"RG6 6AH"
"University of Salford","SALFORD",,,,"M5 4WT"
"University of Sheffield","Firth Court","Western Bank","SHEFFIELD",,"S10 2TN"
"University of Southampton","Highfield","SOUTHAMPTON"," "," ","SO17 1BJ"
"University of Sunderland","Edinburgh Building","City Campus","Chester Road","SUNDERLAND","SR1 3SD"
"University of Surrey","Senate House","GUILDFORD",,,"GU2 7XH"
"University of Sussex","Sussex House","Falmer","BRIGHTON",,"BN1 9RH"
"University of the Arts London","272 High Holborn","London",,,"WC1V 7EY"
"University of the West of England, Bristol","Coldharbour Lane","Frenchay","BRISTOL"," ","BS16 1QY"
"University of Warwick","University House","Kirby Corner Road","COVENTRY",,"CV4 8UW"
"University of Westminster","309 Regent Street","LONDON"," "," ","W1B 2UW"
"University of Winchester","West Hill","WINCHESTER",,,"SO22 4NR"
"University of Wolverhampton","Wulfruna Street","WOLVERHAMPTON",,,"WV1 1LY"
"University of Worcester","Henwick Grove","WORCESTER",,,"WR2 6AJ"
"University of York","Heslington","YORK"," "," ","YO10 5DD"
"Writtle College","Lordship Road","Writtle","CHELMSFORD",,"CM1 3RR"
"York St John University","Lord Mayor's Walk","YORK",,,"YO31 7EX"
