id,subject,sid,univer,univer_code,course,course_code,qualification
201,Abroad,5,"University of St Andrews",S36,"Economics with Spanish (with Integ Yr Abroad)",L1RL,"5FT Hon MA"
202,Abroad,5,"University of St Andrews",S36,"Economics-German with Year Abroad",LRC2,"5FT Hon MA"
203,Abroad,5,"University of St Andrews",S36,"Economics-Italian with Year Abroad",LRC3,"5FT Hon MA"
204,Abroad,5,"University of St Andrews",S36,"Economics-Russian with Year Abroad",LRC7,"5FT Hon MA"
205,Abroad,5,"University of St Andrews",S36,"Economics-Spanish with Year Abroad",LRC4,"5FT Hon MA"
206,Abroad,5,"University of St Andrews",S36,"English-French with Year Abroad",QRH1,"5FT Hon MA"
207,Abroad,5,"University of St Andrews",S36,"English-German with Year Abroad",QRH2,"4FT Hon MA"
208,Abroad,5,"University of St Andrews",S36,"English-Italian with Year Abroad",RQ33,"5FT Hon MA"
209,Abroad,5,"University of St Andrews",S36,"English-Russian with Year Abroad",QRH7,"5FT Hon MA"
210,Abroad,5,"University of St Andrews",S36,"English-Spanish with Year Abroad",QRH4,"5FT Hon MA"
211,Abroad,5,"University of St Andrews",S36,"French with Integrated Year Abroad",R111,"5FT Hon MA"
212,Abroad,5,"University of St Andrews",S36,"French-Geography with Year Abroad",LRR1,"5FT Hon MA"
213,Abroad,5,"University of St Andrews",S36,"French-German with Year Abroad",RRC2,"5FT Hon MA"
214,Abroad,5,"University of St Andrews",S36,"French-Hebrew with Year Abroad",QR91,"5FT Hon MA"
215,Abroad,5,"University of St Andrews",S36,"French-International Relations (WIYA)",LRF1,"5FT Hon MA"
216,Abroad,5,"University of St Andrews",S36,"French-Italian with Year Abroad",RR31,"5FT Hon MA"
217,Abroad,5,"University of St Andrews",S36,"French-Latin with Year Abroad",QRP1,"5FT Hon MA"
218,Abroad,5,"University of St Andrews",S36,"French-Management with Year Abroad",NRF1,"5FT Hon MA"
219,Abroad,5,"University of St Andrews",S36,"French-Mediaeval History with Year Abroad",RVCC,"5FT Hon MA"
220,Abroad,5,"University of St Andrews",S36,"French-Modern History with Year Abroad",RVCD,"5FT Hon MA"
221,Abroad,5,"University of St Andrews",S36,"French-Philosophy with Year Abroad",RVC5,"5FT Hon MA"
222,Abroad,5,"University of St Andrews",S36,"French-Psychology with Year Abroad",CR8C,"5FT Hon MA"
223,Abroad,5,"University of St Andrews",S36,"French-Russian with Year Abroad",RRC7,"5FT Hon MA"
224,Abroad,5,"University of St Andrews",S36,"French-Social Anthropology with Year Abroad",LRP1,"5FT Hon MA"
225,Abroad,5,"University of St Andrews",S36,"French-Spanish with Year Abroad",RRC4,"5FT Hon MA"
226,Abroad,5,"University of St Andrews",S36,"French-Theological Studies with Year Abroad",VRP1,"5FT Hon MA"
227,Abroad,5,"University of St Andrews",S36,"Geography with Spanish with Year Abroad",L7RK,"5FT Hon MA"
228,Abroad,5,"University of St Andrews",S36,"Geography-Italian (with Integrated Year Abroad)",LRR3,"5FT Hon MA"
229,Abroad,5,"University of St Andrews",S36,"Geography-Spanish with Year Abroad",LRR4,"5FT Hon MA"
230,Abroad,5,"University of St Andrews",S36,"German with Integrated Year Abroad",R211,"5FT Hon MA"
231,Abroad,5,"University of St Andrews",S36,"German-International Relations (WIYA)",LRF2,"5FT Hon MA"
232,Abroad,5,"University of St Andrews",S36,"German-Italian with Year Abroad",RR32,"5FT Hon MA"
233,Abroad,5,"University of St Andrews",S36,"German-Management with Year Abroad",NRF2,"5FT Hon MA"
234,Abroad,5,"University of St Andrews",S36,"German-Mediaeval History with Year Abroad",RVFC,"5FT Hon MA"
235,Abroad,5,"University of St Andrews",S36,"German-Middle East Studies with Year Abroad",TR62,"4FT Hon MA"
236,Abroad,5,"University of St Andrews",S36,"German-Modern History with Year Abroad",RVGC,"5FT Hon MA"
237,Abroad,5,"University of St Andrews",S36,"German-New Testament with Year Abroad",RVFQ,"5FT Hon MA"
238,Abroad,5,"University of St Andrews",S36,"German-Philosophy with Year Abroad",RVF5,"5FT Hon MA"
239,Abroad,5,"University of St Andrews",S36,"German-Psychology with Year Abroad",CR8F,"5FT Hon MA"
240,Abroad,5,"University of St Andrews",S36,"German-Russian with Year Abroad",RRF7,"5FT Hon MA"
241,Abroad,5,"University of St Andrews",S36,"German-Social Anthropology (with Year Abroad)",RL26,"5FT Hon MA"
242,Abroad,5,"University of St Andrews",S36,"German-Spanish with Year Abroad",RRF4,"5FT Hon MA"
243,Abroad,5,"University of St Andrews",S36,"German-Theological Studies with Year Abroad",RVF6,"5FT Hon MA"
244,Abroad,5,"University of St Andrews",S36,"Greek-Italian with Year Abroad",RQ37,"5FT Hon MA"
245,Abroad,5,"University of St Andrews",S36,"Greek-Spanish with Year Abroad",Q7R4,"5FT Hon MA"
246,Abroad,5,"University of St Andrews",S36,"Hebrew-Russian with Year Abroad",QR97,"5FT Hon MA"
247,Abroad,5,"University of St Andrews",S36,"International Relations-Italian with Year Abroad",LRF3,"5FT Hon MA"
248,Abroad,5,"University of St Andrews",S36,"International Relations-Russian with Year Abroad",LRF7,"5FT Hon MA"
249,Abroad,5,"University of St Andrews",S36,"International Relations-Spanish with Year Abroad",LRF4,"5FT Hon MA"
250,Abroad,5,"University of St Andrews",S36,"Italian with Integrated Year Abroad",R311,"5FT Hon MA"
251,Abroad,5,"University of St Andrews",S36,"Italian-Latin with Year Abroad",RQ36,"5FT Hon MA"
252,Abroad,5,"University of St Andrews",S36,"Italian-Management with Year Abroad",NRF3,"5FT Hon MA"
253,Abroad,5,"University of St Andrews",S36,"Italian-Mediaeval History with Year Abroad",RVH1,"5FT Hon MA"
254,Abroad,5,"University of St Andrews",S36,"Italian-Middle East Studies with Year Abroad",TR63,"5FT Hon MA"
255,Abroad,5,"University of St Andrews",S36,"Italian-Modern History with Year Abroad",RVHC,"5FT Hon MA"
256,Abroad,5,"University of St Andrews",S36,"Italian-Philosophy with Year Abroad",RVH5,"5FT Hon MA"
257,Abroad,5,"University of St Andrews",S36,"Italian-Psychology with Year Abroad",CR83,"5FT Hon MA"
258,Abroad,5,"University of St Andrews",S36,"Italian-Russian with Year Abroad",RR73,"5FT Hon MA"
259,Abroad,5,"University of St Andrews",S36,"Italian-Scottish History with Year Abroad",VRF3,"5FT Hon MA"
260,Abroad,5,"University of St Andrews",S36,"Italian-Social Anthropology with Year Abroad",RL36,"5FT Hon MA"
261,Abroad,5,"University of St Andrews",S36,"Italian-Spanish with Year Abroad",RR34,"5FT Hon MA"
262,Abroad,5,"University of St Andrews",S36,"Latin-Russian with Year Abroad",QRP7,"5FT Hon MA"
263,Abroad,5,"University of St Andrews",S36,"Latin-Spanish with Year Abroad",QRP4,"5FT Hon MA"
264,Abroad,5,"University of St Andrews",S36,"Management-Russian with Year Abroad",NRF7,"5FT Hon MA"
265,Abroad,5,"University of St Andrews",S36,"Management-Spanish with Year Abroad",NRF4,"5FT Hon MA"
266,Abroad,5,"University of St Andrews",S36,"Mathematics with Spanish with Year Abroad",G1RX,"5FT Hon MA"
267,Abroad,5,"University of St Andrews",S36,"Mathematics-Spanish (with yr abroad)",GRC4,"5FT Hon MA"
268,Abroad,5,"University of St Andrews",S36,"Mediaeval History-Russian with Year Abroad",RVR1,"5FT Hon MA"
269,Abroad,5,"University of St Andrews",S36,"Mediaeval History-Spanish with Year Abroad",RVLC,"5FT Hon MA"
270,Abroad,5,"University of St Andrews",S36,"Middle East Studies-Russian with Year Abroad",RT76,"5FT Hon MA"
