advice_box_id,advice_res_sec_id,resume_type_id,advice_fld_id,advice_type,advice_box_title,advice_box_content,advice_box_status,rec_crt_date
490,Additional,8,int,"General Advice","Hobbies and Interests","It is not always recommended to include a hobbies and interests section. If you feel it will be of benefit, because your interests are related to the position you are applying for, then include it.",Y,2010-04-18
286,"Personal Details",1,ph_1,"General Advice","Phone Number","Use a number which you can be contacted on at most times. If you are unavailable for any period, ensure that the phone has an answer phone facility. Do not use a work phone number.",Y,2010-04-16
287,"Personal Details",1,ph_2,"General Advice","Alternative Phone Number","This is a chance to supply a second phone number to ensure that employers will be able to contact you, even just to leave a message.",Y,2010-04-16
288,"Personal Details",1,web,"General Advice",Website,"If you have a website, and it is relevant to your work, put the address here.",Y,2010-04-16
289,"Personal Details",1,cpro,"General Advice","Career Profile","This is a short statement about the career sector you work in. It may not be applicable to you. For example, if you are a graphic designer, write: Graphic Designer.",Y,2010-04-16
290,"Personal Details",1,PDA,"General Advice","Personal Statement","When you write a personal statement for a CV or application, your goal is to appeal to your prospective employer in a clear and  concise fashion.<br /><br />
It is essential that your personal statement doesn't include information about job history and achievements. These sections come later in your CV.<br /><br />
You should attempt to link any skills to how they would specifically benefit an organization. For example, a personal statement might  read something like this:<br /><br />
<em>""If you&#39;re seeking a Network Technician to improve the reliability and development of your company&#39;s server, my experience  in design, implementation and maintenance will prove invaluable. Troubleshooting and support come as second nature, meaning fewer and less  frequent connectivity issues for your large-scale network.""</em><br />
<br />
Take a look at your personal statement and read it out loud you yourself. Imagine it was a television advert - would you buy the product?",Y,2010-04-16
320,"Cover Letter",1,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
321,"Cover Letter",1,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
322,"Cover Letter",1,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
323,Achievements,2,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
324,Achievements,3,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
325,Achievements,4,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
326,Achievements,5,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
327,Achievements,6,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
328,Achievements,7,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
329,Achievements,8,AS,"General Advice","Achievement Summary","This paragraph acts as an introduction to all of the achievements you are about to list.",Y,2010-04-17
330,Achievements,2,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
331,Achievements,3,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
332,Achievements,4,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
333,Achievements,5,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
334,Achievements,6,AS,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
335,Achievements,7,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
336,Achievements,8,AM,"General Advice",Achievement,"A brief summary of what you achieved.",Y,2010-04-17
337,Achievements,2,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
338,Achievements,3,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
339,Achievements,4,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
340,Achievements,5,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
341,Achievements,6,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
342,Achievements,7,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
343,Achievements,8,awhere,"General Advice","Achievement Location","This is where you made the achievement. If it was at a work place which you have already included in the Work History section, you can select it here.",Y,2010-04-17
344,Achievements,2,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
345,Achievements,3,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
346,Achievements,4,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
347,Achievements,5,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
348,Achievements,6,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
349,Achievements,7,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
350,Achievements,8,adate,"General Advice","Date of Achievement","The date you made the achievement.",Y,2010-04-17
351,Skills,2,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
352,Skills,3,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
353,Skills,4,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
354,Skills,5,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
355,Skills,6,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
356,Skills,7,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
357,Skills,8,skill,"General Advice",Skills,"Add individual skills. These should mostly be work specific  (e.g. PHP programming, for a web designer) but if you don&#39;t have any work related skills, you can include things like: Team Player.<br><br>Remember to rate your level of expertise using the green stars.",Y,2010-04-17
358,Skills,2,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
359,Skills,3,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
360,Skills,4,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
361,Skills,5,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
362,Skills,6,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
363,Skills,7,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
364,Skills,8,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-17
365,Education,2,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
366,Education,3,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
367,Education,4,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
368,Education,5,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
369,Education,6,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
370,Education,7,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
371,Education,8,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-17
372,Education,2,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
373,Education,3,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
374,Education,4,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
375,Achievements,5,Q/C,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
376,Education,6,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
377,Education,7,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
378,Education,8,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-17
379,Education,2,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
380,Education,3,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
381,Education,4,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
382,Education,5,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
383,Education,6,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
384,Education,7,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
386,Education,8,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-17
387,Education,2,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
388,Education,3,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
389,Education,4,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
390,Education,5,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
391,Education,6,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
392,Education,7,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
393,Education,8,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-17
395,Education,2,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
396,Education,3,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
397,Education,4,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
398,Education,5,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
399,Education,6,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
400,Education,7,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
401,Education,8,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-17
402,Education,2,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
403,Education,3,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
404,Education,4,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
405,Education,5,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
407,Education,6,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
408,Education,7,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
409,Education,8,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-17
413,"Cover Letter",2,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
411,"Cover Letter",3,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
412,"Cover Letter",4,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
414,"Cover Letter",5,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
415,"Cover Letter",6,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
416,"Cover Letter",7,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
417,"Cover Letter",8,corec,"General Advice","Unknown Recipient","If you don&#39;t know the name of the person you are writing to, tick this box.",Y,2010-04-17
418,"Cover Letter",2,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
419,"Cover Letter",3,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
420,"Cover Letter",4,covlay,"General Advice","Cover Letter Layout",D,Y,2010-04-17
421,"Cover Letter",5,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
422,"Cover Letter",6,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
423,"Cover Letter",8,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
424,"Cover Letter",7,covlay,"General Advice","Cover Letter Layout","You can choose which style you would like to use for the letter.",Y,2010-04-17
425,"Cover Letter",2,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
426,"Cover Letter",3,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
427,"Cover Letter",5,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
428,"Cover Letter",7,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
429,"Cover Letter",8,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
430,"Cover Letter",4,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
431,"Cover Letter",6,covtem,"General Advice","Cover Letter Template","Here you can select a generic message body which you can amend to suit your application.",Y,2010-04-17
432,References,2,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
433,References,3,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
434,References,4,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
435,References,5,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
436,References,6,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
437,References,7,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
438,References,8,refname,"General Advice","Name of Reference","The name of the person acting as your reference.",Y,2010-04-18
439,References,2,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
440,References,3,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
441,References,4,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
442,References,5,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
443,References,6,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
446,References,8,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
445,References,7,reftitle,"General Advice","Job Title","The title that they hold in their company.",Y,2010-04-18
447,References,2,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
448,References,3,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
449,References,4,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
450,References,5,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
451,References,6,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
452,References,7,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
453,References,8,refcomp,"General Advice","Reference Company","The company name.",Y,2010-04-18
454,References,2,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
455,References,3,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
456,References,4,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
457,References,5,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
458,References,6,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
459,References,7,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
460,References,8,refphone,"General Advice","Reference Phone","Their contact telephone number.",Y,2010-04-18
461,References,2,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
462,References,3,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
463,References,4,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
464,References,5,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
465,References,6,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
466,References,7,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
467,References,8,refemail,"General Advice","Reference Email","Their best email address to contact them on.",Y,2010-04-18
468,References,2,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
469,References,3,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
470,References,4,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
472,References,5,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
473,References,6,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
474,References,7,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
475,References,8,reftype,"General Advice","Reference Type","Whether they are a Professional (previous employer or teacher) or Personal (family friend) reference.",Y,2010-04-18
476,Additional,2,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
478,Additional,3,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
479,Additional,4,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
480,Additional,5,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
481,Additional,6,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
482,Additional,7,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
483,Additional,8,lan,"General Advice",Languages,"The name of any extra language you might speak. Remember to specify your fluency level (Beginner, Intermediate, Fluent)",Y,2010-04-18
284,"Personal Details",1,add,"General Advice",Address,"Make sure you use an address where you have full access to the post. Check these details carefully because you don&#39;t want to miss a letter of acceptance because you have used the wrong postcode.",Y,2010-04-16
285,"Personal Details",1,Email,"General Advice","Email Address","Don&#39;t use an email address issued by your current employer. If your personal email address is one you have had from a young age or is inappropriate (e.g. kittykat45@live.com), setup a new address  specifically for your job search. You can use free email clients like Hotmail or Gmail to do this.",Y,2010-04-16
291,"Personal Details",1,CO,"General Advice","Career Objective","A career objective gives an employer a quick summary of what the applicant is seeking from their work. They can then compare this to the demand and characteristics of the position which is available.<br /><br />The objective will contain the specific skills you want to develop and the kind of company you would like to work for. These should be aligned to the job advertisement.",Y,2010-04-16
292,"Work History",1,JT,"General Advice","Job Title","It often happens that people receive job titles with very little meaning outside of the industry, company or even department they work for. If one of your titles doesn&#39;t accurately reflect your duties, change it.",Y,2010-04-16
293,"Personal Details",2,FN,"General Advice","First Name","This is your name. Use your correct name. No nicknames or pseudonyms.<br><br>If you need to edit your name for any reason, please visit: Edit My Account Details, in the header of this page.",Y,2010-04-16
294,"Work History",1,SH,"General Advice","Job Skills","These are job related skills which you displayed whilst working at the company e.g. Book keeping, telephone sales.",Y,2010-04-16
295,"Work History",1,wleave,"General Advice","Leaving Date","If you are still currently working at the company, tick the &#39;Present&#39; box.",Y,2010-04-16
296,"Work History",1,dut,"General Advice","Description of Duties","Here you would describe the specific duties you performed in the role. Try to highlight aspects of responsibility. For example, for an insurance broker:  <em>Ensured smooth passage of information between all parties involved in the claim.</em>",Y,2010-04-16
297,"Work History",1,wsum,"General Advice","Job Summary","Here you should include a paragraph about the company you worked for and their function. For example: <em>Fast growing national company</em>",Y,2010-04-16
298,Education,1,E/D,"General Advice","Degree Level","This is the level of your qualification.",Y,2010-04-16
299,Education,1,field,"General Advice","Field of Study","Add one or more fields of study for your qualification e.g. English, Science",Y,2010-04-16
300,Education,1,eleave,"General Advice","Education - Leaving Date","If you are still currently studying at the institution, tick the &#39;Present&#39; box.",Y,2010-04-16
301,Education,1,SN,"General Advice","Institution Name","This is the name of the place you studied e.g. Harvard Law School",Y,2010-04-16
302,Education,1,eloc,"General Advice","Location of Institution","Where the school/institution is based e.g. Cambridge, Massachusetts",Y,2010-04-16
303,Education,1,Q/C,"General Advice","Qualification Summary","This is a summary paragraph about the qualification you gained. Use it to include grades and any other relevant information about the institution e.g. Ranked 2nd in the country in the field of Law.",Y,2010-04-16
304,Skills,1,SS,"General Advice","Skill Summary","This is where you provide a brief summary of the skills you currently perform, or have performed, in life or work e.g. Through my work experience and general development I have acquired the following skills, which would be highly suited to the position you have available.",Y,2010-04-16
